onnx_latency,fallback_latency,output_dir,slowest_device,all,input_shape,output_shape,error,device,file_name,file_path,pruning,time_cost,params,IR,MACs,
1.347,inf,./f47466c8-27c6-43,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.347, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_drf_w2.onnx,../dnnModels/quant_drf_w2.onnx,1,4.626759052,276611,57281,15633,4639680
1.277,2.258,./fe2f8bef-d5cd-4a,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.277, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.258}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_drf_w2.onnx,../dnnModels/quant_drf_w2.onnx,0,18.8165,95792770386,57281,15633,4639680
1.333,inf,./75256dc6-412a-43,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.333, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_drf_w2.onnx,../dnnModels/quant_drf_w2.onnx,1,4.3825531,5859375,57281,15633,4639680
1.278,2.305,./7aee754c-2987-4b,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.278, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.305}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_drf_w2.onnx,../dnnModels/quant_drf_w2.onnx,0,18.2265,23876190186,57281,15633,4639680
1.496,inf,./b62e0ef7-674a-49,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.496, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_lsq_w2.onnx,../dnnModels/quant_lsq_w2.onnx,1,4.895817756,652832,21147,15633,1717686
1.373,2.311,./2071b71d-7482-4d,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.373, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.311}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_lsq_w2.onnx,../dnnModels/quant_lsq_w2.onnx,0,16.4723,14834594727,57281,15633,4639680
1.529,inf,./69a6b921-4506-4e,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.529, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_lsq_w2.onnx,../dnnModels/quant_lsq_w2.onnx,1,5.07139635,860596,21147,15633,1717686
1.322,2.353,./1069a09e-76ab-40,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.322, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.353}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_lsq_w2.onnx,../dnnModels/quant_lsq_w2.onnx,0,15.9622,39503860474,57281,15633,4639680
1.366,inf,./1800a57b-7d6b-4a,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.366, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s5.onnx,../dnnModels/prune_level_s5.onnx,1,4.70921,8502044678,28628,15471,2322675
1.26,2.328,./fb964ee8-d9b0-49,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.26, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.328}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_level_s5.onnx,../dnnModels/prune_level_s5.onnx,0,15.01,5.12623E+11,55655,15471,4507974
